"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"247","0.1565","0.2237","0.003077","1.01"
"248","0.1551","0.2131","0.003021","0.9713"
"249","0.1654","0.2245","0.002966","0.9597"
"250","0.1591","0.219","0.002912","0.9735"
"251","0.1567","0.2229","0.002859","1.006"
"252","0.1563","0.2302","0.002807","1.041"
"253","0.1645","0.2424","0.002756","1.042"
"254","0.1586","0.2264","0.002706","1.01"
"255","0.1658","0.2315","0.002657","0.987"
"256","0.1651","0.2263","0.002608","0.969"
"257","0.1574","0.2171","0.002561","0.9754"
"258","0.1538","0.2174","0.002514","0.9994"
"259","0.1596","0.2325","0.002468","1.03"
"260","0.1671","0.2441","0.002423","1.033"
"261","0.1667","0.2365","0.002379","1.003"
"262","0.1647","0.2254","0.002336","0.9678"
"263","0.1708","0.23","0.002293","0.9523"
"264","0.1695","0.2304","0.002252","0.9612"
"265","0.1711","0.2377","0.002211","0.9826"
"266","0.1713","0.2432","0.002171","1.004"
"267","0.1707","0.25","0.002131","1.036"
"268","0.171","0.253","0.002092","1.046"
"269","0.1804","0.2622","0.002054","1.028"
"270","0.1757","0.246","0.002017","0.9896"
"271","0.1752","0.241","0.00198","0.9729"
"272","0.1842","0.2502","0.001944","0.9606"
"273","0.185","0.2515","0.001909","0.9615"
"274","0.1799","0.2497","0.001874","0.9815"
"275","0.1749","0.2478","0.00184","1.002"
"276","0.1797","0.2593","0.001806","1.02"
"277","0.178","0.2625","0.001773","1.043"
"278","0.1824","0.2718","0.001741","1.054"
"279","0.1872","0.2783","0.00171","1.051"
"280","0.179","0.259","0.001678","1.023"
"281","0.1823","0.2586","0.001648","1.003"
"282","0.1874","0.2628","0.001618","0.9915"
"283","0.19","0.2627","0.001588","0.9778"
"284","0.1868","0.2569","0.001559","0.9724"
"285","0.1833","0.2526","0.001531","0.9747"
"286","0.1757","0.2456","0.001503","0.9882"
"287","0.1774","0.2514","0.001476","1.002"
"288","0.183","0.2635","0.001449","1.018"
"289","0.1847","0.2708","0.001423","1.036"
"290","0.1873","0.2751","0.001397","1.039"
"291","0.1942","0.2825","0.001371","1.029"
"292","0.192","0.2741","0.001346","1.009"
"293","0.1883","0.263","0.001322","0.9877"
"294","0.1866","0.2555","0.001298","0.9682"
"295","0.1909","0.2595","0.001274","0.9611"
"296","0.197","0.267","0.001251","0.9581"
"297","0.1947","0.265","0.001228","0.9626"
"298","0.1946","0.2672","0.001206","0.9707"
"299","0.1986","0.275","0.001184","0.9795"
"300","0.1969","0.2761","0.001162","0.9915"
"301","0.1956","0.2771","0.001141","1.002"
"302","0.1974","0.2829","0.00112","1.013"
"303","0.1978","0.2886","0.0011","1.032"
"304","0.1965","0.2898","0.00108","1.043"
"305","0.1958","0.291","0.00106","1.051"
"306","0.1974","0.2927","0.001041","1.049"
"307","0.2028","0.2991","0.001022","1.043"
"308","0.2041","0.2959","0.001004","1.025"
"309","0.2005","0.2846","0.0009853","1.004"
"310","0.1985","0.2775","0.0009674","0.9889"
"311","0.1949","0.27","0.0009497","0.9795"
"312","0.1995","0.2755","0.0009325","0.9763"
"313","0.2051","0.2816","0.0009155","0.9709"
"314","0.21","0.2866","0.0008988","0.9652"
"315","0.2089","0.2853","0.0008825","0.9659"
"316","0.2076","0.2856","0.0008664","0.9731"
"317","0.2058","0.2841","0.0008507","0.9759"
"318","0.2047","0.2853","0.0008351","0.9856"
"319","0.2023","0.2838","0.00082","0.992"
"320","0.2001","0.2831","0.0008051","1"
"321","0.202","0.2886","0.0007904","1.01"
"322","0.2062","0.2971","0.000776","1.019"
"323","0.2056","0.2984","0.0007619","1.026"
"324","0.2024","0.2966","0.000748","1.036"
"325","0.2051","0.3016","0.0007344","1.04"
"326","0.2065","0.3024","0.000721","1.036"
"327","0.207","0.3036","0.0007079","1.037"
"328","0.2092","0.3037","0.0006951","1.027"
"329","0.2101","0.3053","0.0006824","1.027"
"330","0.2096","0.304","0.00067","1.026"
"331","0.2069","0.2984","0.0006577","1.02"
"332","0.2014","0.2884","0.0006458","1.013"
"333","0.2018","0.2864","0.000634","1.004"
"334","0.2006","0.2826","0.0006225","0.9964"
"335","0.202","0.2826","0.0006112","0.9895"
"336","0.2028","0.2824","0.0006","0.9848"
"337","0.2066","0.2863","0.0005891","0.9798"
